Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-02-21,HAYWARD,Chicken XXXXX-O,83,414.17,45,224.55,0,0.0,0,0
2020-02-01,LAKEWOOD,Chicken XXXXX-O,75,374.25,45,224.55,0,0.0,0,0
2020-02-22,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,48,239.52,0,0
2020-01-23,FREMONT,Chicken XXXXX-O,64,319.36,0,0.0,0,0.0,0,0
2020-02-02,RICHMOND CA,Chicken XXXXX-O,35,174.65,0,0.0,0,0.0,0,0
2020-01-24,FREMONT,Chicken XXXXX-O,18,89.82,135,673.65,0,0.0,0,0
2020-02-23,HAYWARD,Chicken XXXXX-O,11,54.89,0,0.0,0,0.0,0,0
2020-02-02,LAKEWOOD,Chicken XXXXX-O,35,174.65,45,224.55,0,0.0,0,0
2020-02-03,RICHMOND CA,Chicken XXXXX-O,8,39.92,135,673.65,0,0.0,0,0
2020-02-24,HAYWARD,Chicken XXXXX-O,11,54.89,135,673.65,0,0.0,0,0
2020-02-03,LAKEWOOD,Chicken XXXXX-O,4,19.96,0,0.0,43,214.57,0,0
2020-02-25,HAYWARD,Chicken XXXXX-O,11,54.89,0,0.0,138,688.62,0,0
2020-02-04,RICHMOND CA,Chicken XXXXX-O,-6,-29.94,0,0.0,136,678.64,0,0
2020-02-26,HAYWARD,Chicken XXXXX-O,149,743.51,0,0.0,0,0.0,0,0
2020-02-04,LAKEWOOD,Chicken XXXXX-O,42,209.58,90,449.1,0,0.0,0,0
2020-02-05,RICHMOND CA,Chicken XXXXX-O,80,399.2,0,0.0,0,0.0,0,0
2020-02-27,HAYWARD,Chicken XXXXX-O,69,344.31,0,0.0,0,0.0,0,0
2020-02-28,HAYWARD,Chicken XXXXX-O,17,84.83,90,449.1,0,0.0,0,0
2020-02-05,LAKEWOOD,Chicken XXXXX-O,22,109.78,0,0.0,91,454.09,0,0
2020-02-06,RICHMOND CA,Chicken XXXXX-O,35,174.65,0,0.0,0,0.0,0,0
2020-02-29,HAYWARD,Chicken XXXXX-O,17,84.83,0,0.0,92,459.08,0,0
2020-01-25,FREMONT,Chicken XXXXX-O,3,14.97,135,673.65,0,0.0,0,0
2020-02-06,LAKEWOOD,Chicken XXXXX-O,74,369.26,45,224.55,0,0.0,0,0
2020-03-01,HAYWARD,Chicken XXXXX-O,12,59.88,0,0.0,0,0.0,0,0
2020-02-07,RICHMOND CA,Chicken XXXXX-O,-1,-4.99,45,224.55,0,0.0,0,0
2020-01-26,FREMONT,Chicken XXXXX-O,3,14.97,0,0.0,132,658.68,0,0
2020-03-02,HAYWARD,Chicken XXXXX-O,12,59.88,135,673.65,0,0.0,0,0
2020-01-28,FREMONT,Chicken XXXXX-O,57,284.43,0,0.0,140,698.6,0,0
2020-02-07,LAKEWOOD,Chicken XXXXX-O,22,109.78,45,224.55,49,244.51,0,0
2020-02-08,RICHMOND CA,Chicken XXXXX-O,-1,-4.99,0,0.0,47,234.53,0,0
2020-03-03,HAYWARD,Chicken XXXXX-O,12,59.88,0,0.0,140,698.6,0,0
2020-03-04,HAYWARD,Chicken XXXXX-O,56,279.44,0,0.0,0,0.0,0,0
